Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
297	MGYG000067856	2427864	384	8569	61.07	90.56	1.98	GUT_GENOME069886	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS396334	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp002404795
298	MGYG000068078	3206181	134	37929	57.47	93.29	1.68	GUT_GENOME216935	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS075878	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
304	MGYG000070482	3100645	170	36102	57.55	93.96	2.35	GUT_GENOME278230	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS972336	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000436735
312	MGYG000072706	3029657	353	11960	57.87	92.62	1.34	GUT_GENOME213169	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS011586	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
313	MGYG000072978	2606017	146	36076	58.55	95.3	1.68	GUT_GENOME085189	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS537346	ERP006678	China	Asia	Human	gut	NA	High	yes	sp000432135
316	MGYG000073457	2621853	168	34398	58.39	93.29	2.35	GUT_GENOME230115	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SRS294970	SRP008047	China	Asia	Human	gut	NA	High	yes	sp000436735
320	MGYG000077244	2606053	245	18023	58.46	91.74	2.15	GUT_GENOME278998	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972379	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
321	MGYG000077309	2299371	146	22356	61.16	91.39	1.58	GUT_GENOME164793	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576034	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
323	MGYG000078030	2496981	74	54752	58.73	93.02	2.01	GUT_GENOME175978	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1205290	SRP067325	USA	North America	Human	gut	NA	High	yes	sp000432135
325	MGYG000078683	2846574	232	23336	56.17	92.77	4.99	GUT_GENOME111645	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS328926	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp900549635
326	MGYG000078879	3528409	195	43796	55.06	90.94	2.35	GUT_GENOME126963	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1069691	ERP013827	Netherlands	Europe	Human	gut	NA	High	yes	sp900545925
328	MGYG000079345	2608563	105	40722	58.49	91.95	1.68	GUT_GENOME040426	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066697	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
333	MGYG000080944	2705043	405	8785	58.49	90.35	1.82	GUT_GENOME149596	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
335	MGYG000081404	2923343	151	27858	57.95	93.96	1.68	GUT_GENOME100550	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS012273	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
337	MGYG000081582	3197192	79	105472	55.43	93.29	1.68	GUT_GENOME047681	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1647289	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp900545925
339	MGYG000082473	2432843	180	21638	60.93	92.62	4.03	GUT_GENOME047773	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1647284	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp002404795
340	MGYG000082727	3140210	127	43624	57.5	93.29	1.81	GUT_GENOME039566	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066672	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
347	MGYG000084159	2532457	200	20015	59.06	91.07	2.68	GUT_GENOME181276	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SRS1596823	SRP080787	Mongolia	Asia	Human	gut	NA	High	yes	sp000436735
351	MGYG000085390	2189206	133	25393	59.22	93.51	1.34	GUT_GENOME285118	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS436691	ERP005534	France	Europe	Human	gut	NA	High	yes	sp900548625
362	MGYG000087878	1977104	86	35088	60.32	91.38	3.36	GUT_GENOME125404	MGYG000002034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900553545	ERS1138741	ERP015450	China	Asia	Human	gut	NA	High	yes	sp900553545
363	MGYG000088093	2164313	163	21640	61.49	94.3	2.03	GUT_GENOME165081	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576042	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
364	MGYG000088440	2764909	120	41850	58.2	91.52	2.01	GUT_GENOME244748	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066699	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
365	MGYG000088603	2317940	123	28010	58.95	90.02	4.7	GUT_GENOME044367	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS1076044	ERP014480	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
367	MGYG000088715	2625002	372	9749	58.35	91.07	2.01	GUT_GENOME109272	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS328831	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
369	MGYG000088826	2226426	188	16955	61.62	93.29	1.4	GUT_GENOME278600	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS972352	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp002404795
373	MGYG000089437	2854496	380	10813	56.41	91.88	1.74	GUT_GENOME285066	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS436694	ERP005534	France	Europe	Human	gut	NA	High	yes	sp900545925
379	MGYG000090547	2269984	192	17192	61.41	90.48	3.9	GUT_GENOME025556	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444583	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp002404795
382	MGYG000091794	2059331	107	35555	57.5	91.28	2.07	GUT_GENOME021874	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1444462	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp003516765
391	MGYG000095213	2180496	154	18838	61.5	92.09	3.19	GUT_GENOME180099	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1531241	SRP076119	USA	North America	Human	gut	NA	High	yes	sp002404795
393	MGYG000096293	2371205	80	51525	58.9	92.96	1.41	GUT_GENOME007412	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS554201	ERP007090	Sweden	Europe	Human	gut	NA	High	yes	sp000432135
396	MGYG000097050	2599639	291	12702	61.38	94.3	4.7	GUT_GENOME128437	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1596826	SRP080787	Mongolia	Asia	Human	gut	NA	High	yes	sp002404795
401	MGYG000098786	3049814	121	45966	57.58	93.96	1.34	GUT_GENOME117267	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396373	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
406	MGYG000099612	2858234	202	23285	59.91	92.79	2.55	GUT_GENOME165855	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576034	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
407	MGYG000099742	3040691	168	26819	57.9	93.79	1.01	GUT_GENOME263500	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
413	MGYG000100648	2289793	212	15349	58.95	90.88	2.01	GUT_GENOME028588	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS006547	ERP000108	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
415	MGYG000100686	2063351	267	9849	61.97	91.95	4.19	GUT_GENOME025299	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444576	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp002404795
416	MGYG000100836	2406403	85	39537	58.9	91.28	0.67	GUT_GENOME280046	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971726	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
417	MGYG000101908	2311479	114	28921	61.09	91.28	1.36	GUT_GENOME021300	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444714	ERP019502	Germany	Europe	Human	gut	NA	High	yes	sp002404795
418	MGYG000101978	3147647	356	12979	57.51	93.29	2.35	GUT_GENOME226101	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS259442	SRP008047	China	Asia	Human	gut	NA	High	yes	sp000432135
420	MGYG000102954	2456944	187	21841	58.85	95.91	2.68	GUT_GENOME282369	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS436719	ERP005534	France	Europe	Human	gut	NA	High	yes	sp900548625
425	MGYG000104360	2273064	331	8415	61.5	91.61	1.59	GUT_GENOME020539	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444682	ERP019502	Germany	Europe	Human	gut	NA	High	yes	sp002404795
433	MGYG000105987	3253099	157	44725	56.1	93.96	3.26	GUT_GENOME024600	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1444551	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp900545925
434	MGYG000106205	2174834	320	9288	57.58	90.53	2.81	GUT_GENOME026300	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1444607	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp003516765
435	MGYG000106271	1911234	255	10219	62.17	90.29	2.01	GUT_GENOME104690	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS235499	ERP002469	Sweden	Europe	Human	gut	NA	High	yes	sp002404795
436	MGYG000106478	2474575	98	38601	58.63	93.62	1.79	GUT_GENOME269796	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971920	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
438	MGYG000107232	2282191	125	26938	59.14	91.37	4.03	GUT_GENOME095221	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	-	-	Italy	Europe	Human	gut	NA	High	yes	sp000436735
439	MGYG000108063	2404237	41	93573	58.4	90.38	2.01	GUT_GENOME049436	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1295851	ERP022699	UK	Europe	Human	gut	NA	High	yes	sp000432135
440	MGYG000108157	2407693	334	9205	58.82	90.3	2.3	GUT_GENOME050430	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS199038	ERP002061	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
441	MGYG000108241	2545983	111	37650	58.63	91.95	1.34	GUT_GENOME152694	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
444	MGYG000109047	3318770	300	16346	57.61	93.06	2.01	GUT_GENOME218780	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1170849	SRP066479	Peru	South America	Human	gut	NA	High	yes	sp000432135
445	MGYG000109131	2956067	176	25869	57.83	93.74	1.68	GUT_GENOME094849	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS631834	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
447	MGYG000109423	2759912	345	11618	57.99	92.22	2.26	GUT_GENOME117031	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396366	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
450	MGYG000110096	2370226	139	26102	60.82	90.08	0.67	GUT_GENOME173531	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1028198	SRP062282	Germany	Europe	Human	gut	NA	High	yes	sp002404795
453	MGYG000110874	2671072	299	12916	58.49	90.27	2.39	GUT_GENOME102053	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS022071	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
458	MGYG000111631	2848843	100	51219	57.88	93.29	1.68	GUT_GENOME267569	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971829	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
465	MGYG000113777	2936974	370	12061	58.37	90.3	2.68	GUT_GENOME263905	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
466	MGYG000114040	2821052	436	8481	57.97	91.39	2.92	GUT_GENOME268483	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS971864	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp900548625
469	MGYG000114662	2644991	92	43385	58.36	91.84	1.68	GUT_GENOME040389	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066697	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
471	MGYG000114997	2692964	185	25613	58.52	92.62	1.68	GUT_GENOME075041	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396523	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp000432135
473	MGYG000115246	2887044	70	76379	57.92	90.94	4.03	GUT_GENOME246591	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066702	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
476	MGYG000116433	2487989	100	56360	58.71	90.3	1.34	GUT_GENOME257361	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746865	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
480	MGYG000117339	3132603	146	40305	55.88	92.56	2.5	GUT_GENOME286142	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS436830	ERP005534	Germany	Europe	Human	gut	NA	High	yes	sp900545925
482	MGYG000117761	1916499	197	14419	60.83	90.08	0.78	GUT_GENOME246268	MGYG000002034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900553545	ERS1066636	ERP013933	USA	North America	Human	gut	NA	High	yes	sp900553545
483	MGYG000118060	2578194	79	86508	58.47	91.4	1.34	GUT_GENOME261108	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746935	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
485	MGYG000118449	3055053	427	10940	58.51	91.95	2.01	GUT_GENOME218004	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SRS1170698	SRP066479	Peru	South America	Human	gut	NA	High	yes	sp000436735
488	MGYG000119316	2412095	164	23359	60.86	90.27	0.67	GUT_GENOME210506	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1905949	SRP096283	USA	North America	Human	gut	NA	High	yes	sp002404795
495	MGYG000120233	3365719	192	32064	56.99	90.94	2.85	GUT_GENOME153113	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
499	MGYG000120998	3505331	86	63870	57.16	93.96	2.35	GUT_GENOME244880	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066697	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
501	MGYG000121685	2308585	113	36781	56.92	92.87	2.01	GUT_GENOME025993	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1444597	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp003516765
503	MGYG000121801	2264174	199	17212	61.45	91.28	1.4	GUT_GENOME257076	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS746790	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp002404795
504	MGYG000122035	2344079	164	27257	59.05	93.19	3.75	GUT_GENOME235224	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS476058	SRP029441	Fiji	Oceania	Human	gut	NA	High	yes	sp000432135
506	MGYG000122167	2083881	277	10630	61.22	91.05	2.18	GUT_GENOME133773	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS199136	ERP002061	Denmark	Europe	Human	gut	NA	High	yes	sp002404795
511	MGYG000123738	2356322	106	37524	58.83	91.28	1.34	GUT_GENOME090833	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS631833	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
514	MGYG000125708	2947222	217	24678	55.99	92.99	0.67	GUT_GENOME114088	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS328992	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
518	MGYG000127815	2228367	110	30966	57.03	91.72	2.18	GUT_GENOME285944	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS436829	ERP005534	Germany	Europe	Human	gut	NA	High	yes	sp900549635
519	MGYG000127818	2394205	177	18350	58.92	91.82	1.68	GUT_GENOME100057	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1343430	ERP017091	China	Asia	Human	gut	NA	High	yes	sp000432135
522	MGYG000129351	3174133	64	119821	55.61	93.96	4.03	GUT_GENOME047679	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1647289	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp900545925
529	MGYG000131057	2076929	189	15105	57.1	90.87	1.01	GUT_GENOME074400	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS396505	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp003516765
533	MGYG000131602	2947482	64	96995	57.59	92.62	2.35	GUT_GENOME120676	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396489	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp000432135
534	MGYG000131764	2392036	343	10237	56.76	92.95	1.34	GUT_GENOME216730	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SRS064276	SRP002860	USA	North America	Human	gut	NA	High	yes	sp003516765
538	MGYG000132469	2738094	59	67860	57.88	94.63	1.34	GUT_GENOME021493	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444722	ERP019502	Germany	Europe	Human	gut	NA	High	yes	sp000432135
539	MGYG000132739	2162329	92	35799	59.17	92.28	2.32	GUT_GENOME034618	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS1015884	ERP013563	China	Asia	Human	gut	NA	High	yes	sp000436735
541	MGYG000132947	3216225	187	28302	56.77	94.63	2.01	GUT_GENOME090428	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608610	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
549	MGYG000134590	2953716	148	36559	55.89	93.29	1.03	GUT_GENOME112413	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS328948	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
550	MGYG000135499	2794341	78	62979	58.1	93.69	1.34	GUT_GENOME108079	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS328754	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
553	MGYG000136176	2299831	112	36324	59.34	91.28	0.67	GUT_GENOME213179	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS012273	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
